City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kuala belait,4.5833,114.1833,30.09,84,91,1.65,BN,1717952798
83,maba,24.6841,113.5984,24.28,98,100,1.4,CN,1717952798
84,dapa,9.7594,126.0531,27.76,80,86,1.57,PH,1717952799
85,mukalla,14.5425,49.1242,31.23,72,79,2.27,YE,1717952800
86,yatou,37.15,122.3833,19.78,87,99,2.45,CN,1717952711
87,mogadishu,2.0371,45.3438,26.29,82,27,8.56,SO,1717952624
88,margaret river,-33.95,115.0667,15.46,61,100,12.23,AU,1717952802
89,fale old settlement,-9.3852,-171.2468,28.75,71,99,4.0,TK,1717952803
90,faya-largeau,17.9257,19.1043,40.55,7,8,4.57,TD,1717952530
91,tiksi,71.6872,128.8694,0.12,96,96,2.46,RU,1717952804
92,saipan,15.1355,145.701,28.39,78,20,4.12,MP,1717952772
93,marathon,44.9,-89.7668,18.02,51,75,7.72,US,1717952805
94,fada n'gourma,12.0622,0.3578,38.85,25,67,0.75,BF,1717952806
95,oroqen zizhiqi,50.5667,123.7167,12.77,64,100,1.82,CN,1717952806
96,ribeira grande,38.5167,-28.7,22.22,78,20,6.26,PT,1717952807
97,gangtok,27.3333,88.6167,21.08,89,47,1.65,IN,1717952771
98,hithadhoo,-0.6,73.0833,28.7,72,100,2.39,MV,1717952808
99,hornostayivka,47.0078,33.729,27.0,50,22,3.24,UA,1717952809
100,smithers,54.7804,-127.1743,16.32,54,100,1.49,CA,1717952810
101,amherst,41.3978,-82.2224,22.42,61,20,7.2,US,1717952811
102,pacific grove,36.6177,-121.9166,17.79,81,75,2.24,US,1717952811
103,lebu,-37.6167,-73.65,12.96,85,49,7.41,CL,1717952812
104,iqaluit,63.7506,-68.5145,4.83,52,45,4.92,CA,1717952812
105,kulhudhuffushi,6.6221,73.07,28.92,78,99,6.75,MV,1717952813
106,ntcheu,-14.8203,34.6359,14.35,75,66,4.07,MW,1717952814
107,tufanganj,26.3167,89.6667,27.42,83,47,2.46,IN,1717952814
108,polva,58.0603,27.0694,14.45,89,70,2.82,EE,1717952815
109,invercargill,-46.4,168.35,8.34,95,100,3.58,NZ,1717952816
110,erdenet,49.0333,104.0833,13.36,61,24,1.83,MN,1717952817
111,puerto aysen,-45.4,-72.7,7.7,99,100,0.24,CL,1717952742
112,ladyzhyn,48.685,29.2368,20.15,85,100,4.42,UA,1717952818
113,ishigaki,24.3448,124.1572,27.84,80,34,2.24,JP,1717952819
114,bethel,41.3712,-73.414,20.2,81,75,4.63,US,1717952820
115,biloela,-24.4167,150.5,9.96,68,0,2.5,AU,1717952821
116,colachel,8.1667,77.25,26.41,89,99,6.22,IN,1717952821
117,colonia,50.9333,6.95,20.81,39,0,5.14,DE,1717952822
118,jamestown,42.097,-79.2353,19.45,61,40,6.69,US,1717952535
119,weno,7.4515,151.8468,26.97,100,100,0.0,FM,1717952824
120,omutninsk,58.67,52.1932,14.13,94,48,2.1,RU,1717952825
121,anadyr,64.75,177.4833,0.28,100,0,3.0,RU,1717952826
122,whitehorse,60.7161,-135.0538,18.34,30,85,4.47,CA,1717952826
123,minggang,32.4586,114.0486,23.55,80,81,3.46,CN,1717952827
124,kurmuk,10.55,34.2833,25.43,74,46,2.05,SD,1717952828
125,sibolga,1.7427,98.7792,25.22,88,97,1.23,ID,1717952828
126,kirensk,57.7853,108.1119,10.54,66,9,1.79,RU,1717952829
127,north bend,43.4065,-124.2243,17.91,88,100,6.17,US,1717952830
128,arraial do cabo,-22.9661,-42.0278,25.92,69,0,3.6,BR,1717952830
129,kruisfontein,-34.0033,24.7314,11.6,82,0,1.54,ZA,1717952831
130,isafjordur,66.0755,-23.124,9.02,61,40,5.14,IS,1717952832
131,iaciara,-14.0958,-46.6317,32.7,23,65,3.17,BR,1717952833
132,afaahiti,-17.75,-149.2833,24.93,84,92,6.42,PF,1717952833
133,west island,-12.1568,96.8225,26.99,78,40,2.57,CC,1717952834
134,enewetak,11.3474,162.3373,28.3,82,100,7.19,MH,1717952835
135,puerto baquerizo moreno,-0.9,-89.6,25.55,73,100,7.2,EC,1717952836
136,udachny,66.4167,112.4,16.92,34,100,3.3,RU,1717952837
137,januaria,-15.4833,-44.3667,31.93,25,5,2.98,BR,1717952837
138,kralendijk,12.15,-68.2667,32.99,62,75,9.77,BQ,1717952838
139,severo-yeniseyskiy,60.3725,93.0408,8.1,98,84,1.34,RU,1717952839
140,punta arenas,-53.15,-70.9167,2.06,80,75,1.54,CL,1717952726
141,constantia,44.1833,28.65,28.38,68,77,7.21,RO,1717952645
142,ardestan,33.3761,52.3694,31.89,9,0,4.77,IR,1717952841
143,laojunmiao,39.8333,97.7333,20.51,15,87,4.05,CN,1717952842
144,ust'-uda,54.1742,103.0304,13.82,97,81,1.95,RU,1717952843
145,utrik,11.2278,169.8474,28.37,80,78,6.04,MH,1717952843
146,fenton,42.7978,-83.7049,22.82,54,20,7.72,US,1717952173
147,port hedland,-20.3167,118.5667,16.03,88,0,2.57,AU,1717952845
148,san andres,12.5847,-81.7006,32.01,74,40,3.6,CO,1717952845
149,san ignacio,17.1561,-89.0714,31.08,70,75,1.54,BZ,1717952684
150,alofi,-19.0595,-169.9187,21.94,73,75,5.14,NU,1717952847
151,guajara mirim,-10.7828,-65.3394,35.07,31,48,1.34,BR,1717952848
152,aasiaat,68.7098,-52.8699,1.3,98,100,1.44,GL,1717952590
153,st. john's,47.5649,-52.7093,16.66,67,100,4.12,CA,1717952752
154,olonkinbyen,70.9221,-8.7187,-0.85,81,90,7.81,SJ,1717952850
155,jayapura,-2.5333,140.7,24.66,93,56,2.15,ID,1717952851
156,saint-philippe,-21.3585,55.7679,22.77,82,48,4.68,RE,1717952851
157,dzuunharaa,48.8523,106.4579,14.63,74,93,1.91,MN,1717952852
158,bilibino,68.0546,166.4372,6.13,61,3,1.43,RU,1717952853
159,mairwa,26.2333,84.15,37.67,13,2,2.35,IN,1717952853
160,sao fidelis,-21.6461,-41.7469,26.82,53,8,2.16,BR,1717952854
161,mata-utu,-13.2816,-176.1745,27.52,76,92,7.91,WF,1717952855
162,murzuq,25.9155,13.9184,35.58,5,0,3.88,LY,1717952855
163,paradip garh,20.3167,86.6167,31.14,71,100,6.63,IN,1717952856
164,gladstone,-23.85,151.25,13.21,87,0,4.12,AU,1717952857
165,bada,51.392,109.8717,13.84,75,92,1.06,RU,1717952859
166,fortuna,40.5982,-124.1573,15.55,88,75,3.09,US,1717952861
167,chibougamau,49.9168,-74.3659,12.79,94,100,4.63,CA,1717952862
168,port lincoln,-34.7333,135.8667,14.91,55,100,3.13,AU,1717952862
169,ilulissat,69.2167,-51.1,4.01,81,40,3.6,GL,1717952863
170,leava,-14.3,-178.1667,27.03,74,87,8.09,WF,1717952864
171,hemsby,52.6971,1.6918,15.13,73,100,5.21,GB,1717952864
